Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000162585,FAAP20,89,1.10475,38,-0.3000,65,0.54994,79,0.88850,32,-0.7652,26,-0.8733,34,-0.4560
ENSG00000157933,SKI,89,2.52205,16,-0.5585,29,0.39927,7,-1.6877,11,-1.4494,17,-0.4703,25,0.13385
ENSG00000157916,RER1,89,0.51771,61,-0.0892,57,-0.2097,108,0.83614,58,-0.2711,36,-0.9326,68,0.06528
ENSG00000157911,PEX10,89,1.71306,26,-0.3539,37,0.17576,42,0.36822,19,-1.0977,16,-1.1003,43,0.41822
ENSG00000157870,PRXL2B,89,1.27158,6,-2.7417,34,-0.3482,34,-0.3359,42,0.01523,45,0.12798,42,0.00249
ENSG00000177133,PRDM16-DT,89,2.01727,2,-3.6192,22,-0.4008,49,0.87712,7,-2.4765,9,-1.7330,85,1.90860
ENSG00000158109,TPRG1L,89,-0.6791,29,-2.3728,117,-0.2576,142,0.04701,183,0.75858,156,0.19410,115,-0.2906
ENSG00000130764,LRRC47,89,0.58089,37,-0.8284,45,-0.5227,57,-0.1477,73,0.38574,65,0.06523,41,-0.6532
ENSG00000116198,CEP104,89,1.68234,67,1.15682,18,-0.9271,34,-0.0020,16,-1.4529,35,0.04591,28,-0.2625
ENSG00000198912,C1orf174,89,2.80403,10,-0.9901,19,-0.1148,11,-0.9644,14,-0.7166,8,-1.2857,6,-1.7974
ENSG00000196581,AJAP1,89,1.35041,19,-1.1328,18,-1.2350,6,-2.6932,43,0.14372,63,0.74059,35,-0.1976
ENSG00000069424,KCNAB2,89,-0.3409,2,-5.6125,104,-0.0960,86,-0.4052,155,0.93076,143,0.41273,63,-0.8777
ENSG00000116254,CHD5,89,-0.3911,3,-5.0548,96,-0.2792,73,-0.7055,122,0.14630,322,1.80806,76,-0.6476
ENSG00000116251,RPL22,988,0.40755,994,0.41804,1359,0.94985,767,-0.0044,658,-0.3565,395,-1.0367,554,-0.5164
ENSG00000116237,ICMT,89,1.78170,19,-0.8288,9,-1.8338,20,-0.7506,34,0.13094,22,-0.5934,26,-0.3154
ENSG00000097021,ACOT7,89,-1.3725,41,-2.5039,34,-2.8086,150,-0.5868,394,1.96176,195,-0.1780,95,-1.2806
ENSG00000171680,PLEKHG5,89,2.72884,0,-9.2274,16,-0.4134,4,-2.3240,20,-0.0759,18,-0.1857,0,-7.7373
ENSG00000162408,NOL9,89,2.12189,11,-1.3150,31,0.23370,26,-0.0431,18,-0.8942,30,0.15866,12,-1.2699
ENSG00000162413,KLHL21,89,1.99247,29,0.03681,10,-1.5674,38,0.44831,19,-0.8905,32,0.17562,13,-1.1613
ENSG00000041988,THAP3,89,2.41153,14,-0.7815,5,-2.2336,15,-0.6621,20,-0.3499,15,-0.7153,17,-0.5124
ENSG00000007923,DNAJC11,89,2.35165,17,-0.5919,8,-1.6741,13,-0.9380,23,-0.0975,15,-0.7151,8,-1.6708
ENSG00000171735,CAMTA1,89,-1.4559,104,-1.2272,271,0.26530,335,0.61455,182,-0.5247,515,1.37278,259,0.18954
ENSG00000049245,VAMP3,89,1.14878,164,2.34836,53,0.26474,41,-0.1613,16,-1.9950,17,-1.4908,23,-1.0323
ENSG00000049246,PER3,89,1.31929,58,0.55606,33,-0.3240,64,0.72680,14,-2.0658,31,-0.4125,79,1.08959
ENSG00000116288,PARK7,89,-2.4066,297,-0.6075,457,0.07122,718,0.82163,574,0.72752,223,-1.0483,294,-0.6259
ENSG00000116285,ERRFI1,89,2.20770,26,-0.0200,18,-0.5339,15,-0.7897,22,-0.3912,12,-1.1563,12,-1.2073
ENSG00000162426,SLC45A1,89,2.12475,3,-3.2576,7,-1.9876,14,-1.0399,29,0.16644,23,-0.2444,19,-0.5651
ENSG00000142599,RERE,89,-0.2626,126,0.29088,133,0.36956,138,0.44117,85,-0.4907,136,0.41535,93,-0.2013
ENSG00000074800,ENO1,89,-3.1069,381,-0.9583,623,-0.1968,1170,0.83929,809,0.34561,395,-0.9040,1159,0.82329
ENSG00000171612,SLC25A33,89,0.68136,29,-1.1137,71,0.29389,165,1.80220,31,-1.3335,17,-1.8800,96,0.80186
ENSG00000171603,CLSTN1,89,-2.4268,91,-2.4012,192,-1.2896,472,0.10206,605,0.85155,674,0.69051,492,0.16847
ENSG00000178585,CTNNBIP1,89,1.56512,25,-0.5554,50,0.52446,27,-0.4141,30,-0.4099,18,-1.0114,29,-0.3310
ENSG00000162441,LZIC,89,0.41353,150,1.31276,86,0.34986,61,-0.1891,51,-0.6540,64,-0.1229,36,-1.0255
ENSG00000162444,RBP7,89,2.55588,123,3.40974,3,-2.6465,0,-7.5159,0,-5.7394,2,-3.6075,5,-2.1779
ENSG00000130939,UBE4B,89,1.39503,50,0.39565,14,-1.5725,18,-1.2216,37,-0.1068,58,0.64202,13,-1.6271
ENSG00000054523,KIF1B,89,-1.9807,474,0.60346,250,-0.4257,195,-0.8100,269,-0.4481,585,0.96655,608,1.03582
ENSG00000142657,PGD,89,0.75847,46,-0.3026,26,-1.1781,92,0.80316,51,-0.2142,54,-0.0661,50,-0.1849
ENSG00000175279,CENPS,89,2.50223,6,-1.8442,8,-1.4980,22,-0.0827,17,-0.5963,25,0.16336,7,-1.6505
ENSG00000241563,CORT,89,-1.5227,0,-8.9404,9,-4.7462,2071,5.76517,50,-2.8672,39,-2.7271,0,-9.2021
ENSG00000160049,DFFA,89,1.05269,81,0.88810,51,0.10806,45,-0.0676,30,-0.9986,45,-0.0747,44,-0.1037
ENSG00000142655,PEX14,89,2.47298,7,-1.8112,11,-1.1020,8,-1.6516,21,-0.1931,18,-0.4059,13,-0.8330
ENSG00000120948,TARDBP,89,0.53622,100,0.73067,43,-0.6276,26,-1.3878,64,-0.0128,69,0.10831,60,-0.1175
ENSG00000116649,SRM,89,0.27584,30,-1.4104,75,-0.0132,141,1.04882,83,0.22914,30,-1.4021,57,-0.4292
ENSG00000171824,EXOSC10,89,1.55592,48,0.45368,20,-0.8913,22,-0.7364,30,-0.4068,32,-0.1911,28,-0.3661
ENSG00000198793,MTOR,89,1.17186,23,-0.9947,14,-1.7844,40,-0.1614,52,0.39097,33,-0.4779,38,-0.2575
ENSG00000116661,FBXO2,89,-1.3226,113,-0.9625,388,1.02101,330,0.73743,227,0.17852,98,-1.1816,182,-0.2304
ENSG00000132879,FBXO44,89,0.34394,17,-2.1524,45,-0.7403,80,0.16102,99,0.84348,64,-0.1852,33,-1.2223
ENSG00000116670,MAD2L2,89,2.31806,24,-0.0156,8,-1.5955,35,0.57610,18,-0.6985,10,-1.3120,8,-1.7091
ENSG00000011021,CLCN6,89,0.97650,41,-0.3133,40,-0.3344,34,-0.5719,47,-0.1135,54,0.14218,48,-0.0408
ENSG00000116685,KIAA2013,89,1.80763,39,0.31687,14,-1.1997,30,-0.0656,21,-0.8595,36,0.21509,23,-0.4896
ENSG00000083444,PLOD1,89,2.30486,30,0.27534,17,-0.5518,21,-0.2323,13,-1.2520,15,-0.8130,23,-0.1331
ENSG00000116688,MFN2,89,0.05428,59,-0.5945,48,-0.9216,102,0.26883,98,0.31139,133,0.70224,42,-1.1176
ENSG00000116691,MIIP,89,2.57529,7,-1.6422,19,-0.2554,29,0.44021,12,-1.2041,12,-0.8633,15,-0.5819
ENSG00000048707,VPS13D,89,0.63677,42,-0.5803,41,-0.5937,21,-1.6047,54,-0.2703,99,0.81922,97,0.77548
ENSG00000162496,DHRS3,89,1.80008,26,-0.3117,48,0.68128,21,-0.6233,13,-1.7608,9,-1.9384,73,1.40862
ENSG00000116731,PRDM2,89,-0.5730,94,-0.4903,116,-0.1629,47,-1.5436,116,-0.2410,369,1.84655,108,-0.2760
ENSG00000189337,KAZN,89,0.96066,81,0.79501,21,-1.3336,27,-0.9227,50,0.01326,48,-0.0638,32,-0.6840
ENSG00000142634,EFHD2,89,0.15790,10,-3.0821,109,0.48616,18,-2.2643,88,0.21826,162,1.16444,67,-0.2903
ENSG00000116138,DNAJC16,89,1.73479,20,-0.7637,9,-1.8537,25,-0.4081,25,-0.5720,46,0.53023,37,0.20657
ENSG00000197312,DDI2,89,1.73395,22,-0.6327,18,-0.8882,15,-1.1676,26,-0.4895,42,0.41101,36,0.13631
ENSG00000116786,PLEKHM2,89,0.43534,29,-1.3148,141,1.22529,40,-0.8316,62,-0.2074,80,0.24928,54,-0.3744
ENSG00000065526,SPEN,89,-0.3274,238,1.30962,82,-0.4521,28,-2.0920,45,-1.7727,315,1.84608,169,0.70660
ENSG00000116809,ZBTB17,89,2.70994,25,0.28878,21,0.03740,3,-2.7048,13,-0.9947,16,-0.3952,2,-3.2143
ENSG00000185519,FAM131C,89,2.79258,28,0.54089,5,-1.8933,20,-0.0209,11,-1.2142,9,-1.2016,5,-1.9039
ENSG00000037637,FBXO42,89,2.56158,10,-1.2257,8,-1.4437,27,0.31208,13,-1.0682,20,-0.1562,15,-0.6492
ENSG00000055070,SZRD1,89,1.90847,51,0.87126,59,1.11972,23,-0.4352,11,-1.8507,19,-0.6890,13,-1.2098
ENSG00000157191,NECAP2,89,2.42076,33,0.53244,40,0.84717,29,0.30570,7,-2.2893,5,-2.3438,14,-0.8060
ENSG00000219481,NBPF1,89,2.27291,41,0.78693,30,0.28715,11,-1.2247,10,-1.7280,19,-0.4167,20,-0.3418
ENSG00000159363,ATP13A2,89,0.17476,14,-2.6434,46,-0.8649,114,0.57383,88,0.24193,104,0.41823,81,0.02470
ENSG00000117118,SDHB,89,-0.3901,77,-0.6113,67,-0.8404,225,1.13165,139,0.50643,65,-0.8766,64,-0.8953
ENSG00000117115,PADI2,89,0.66315,294,3.11287,49,-0.3122,23,-1.4784,7,-3.6757,14,-2.2068,100,0.84828
ENSG00000179051,RCC2,89,2.62225,24,0.13255,6,-1.8598,16,-0.4658,14,-0.8609,15,-0.5581,9,-1.3283
ENSG00000117154,IGSF21,89,0.74562,13,-2.1908,35,-0.7637,38,-0.6286,69,0.51693,82,0.60037,33,-0.8425
ENSG00000159423,ALDH4A1,89,2.10710,18,-0.6284,21,-0.3919,39,0.56262,8,-2.2870,8,-1.7792,66,1.49620
ENSG00000127481,UBR4,89,1.75651,30,-0.1258,12,-1.5331,11,-1.6837,24,-0.6500,55,0.86622,32,-0.0383
ENSG00000127463,EMC1,89,1.68859,24,-0.5060,14,-1.3695,27,-0.3559,22,-0.8585,34,0.02115,58,0.90736
ENSG00000053372,MRTO4,89,1.23782,16,-1.5231,40,-0.0983,51,0.26921,40,-0.1654,26,-0.7926,47,0.15267
ENSG00000053371,AKR7A2,89,1.11640,47,0.02961,57,0.34767,62,0.48961,37,-0.4899,17,-1.4856,39,-0.2560
ENSG00000077549,CAPZB,89,-1.2681,144,-0.5386,152,-0.4594,213,0.07742,265,0.70969,192,-0.0938,181,-0.1812
ENSG00000173436,MICOS10,89,-2.2714,208,-1.0107,590,0.64338,585,0.62854,509,0.64156,204,-1.0436,278,-0.5661
ENSG00000158747,NBL1,89,-0.4009,24,-2.3426,140,0.31087,163,0.56279,126,0.21724,169,0.62897,64,-0.9171
ENSG00000169914,OTUD3,89,2.47130,3,-3.0285,15,-0.6155,14,-0.7621,18,-0.5729,23,-0.0267,16,-0.5974
ENSG00000162545,CAMK2N1,1887,0.34528,663,-1.2881,1779,0.24917,1462,-0.0682,1762,0.36627,1256,-0.3075,1155,-0.4390
ENSG00000090432,MUL1,89,2.22677,14,-0.9644,2,-3.3608,31,0.27241,19,-0.6215,17,-0.6456,27,0.09861
ENSG00000158828,PINK1,89,-2.1202,124,-1.6325,351,-0.0412,302,-0.2773,499,0.89609,443,0.33727,296,-0.3101
ENSG00000244038,DDOST,89,1.33577,17,-1.3238,17,-1.2884,39,-0.0596,39,-0.0626,29,-0.5296,56,0.52120
ENSG00000117245,KIF17,89,2.46192,1,-4.1767,5,-2.2867,1,-4.0583,23,0.00113,26,0.21201,16,-0.5382
ENSG00000189410,SH2D5,89,1.73217,0,-6.2651,2,-4.0798,32,-0.0167,39,0.44068,30,-0.1485,19,-0.8695
ENSG00000127483,HP1BP3,89,-1.5146,428,0.96616,226,-0.0952,170,-0.5404,178,-0.6571,392,0.81446,380,0.76060
ENSG00000075151,EIF4G3,89,-1.4880,235,-0.0001,91,-1.4604,74,-1.7584,267,0.31302,544,1.43538,252,0.11223
ENSG00000117298,ECE1,89,2.39874,25,0.05364,33,0.51371,36,0.64593,2,-3.7088,8,-1.6322,38,0.76689
ENSG00000076864,RAP1GAP,89,-0.0203,13,-2.8773,44,-1.0962,73,-0.3492,130,1.00898,135,0.65032,32,-1.6028
ENSG00000090686,USP48,89,0.19490,139,0.93708,60,-0.4466,30,-1.4791,57,-0.7288,124,0.73350,123,0.72585
ENSG00000070831,CDC42,89,-1.1863,253,0.44714,156,-0.3350,179,-0.1150,239,0.56602,182,-0.0868,109,-0.8926
ENSG00000173372,C1QA,89,0.91129,62,0.29761,211,2.62627,44,-0.2450,13,-2.4743,27,-0.9964,28,-0.9464
ENSG00000159189,C1QC,89,1.57442,48,0.49287,149,2.67078,20,-0.8705,8,-2.7695,18,-1.0524,1,-4.5905
ENSG00000173369,C1QB,89,0.82281,106,1.11371,218,2.58434,53,-0.0313,16,-2.2852,11,-2.3491,1,-5.5976
ENSG00000004487,KDM1A,89,0.74166,35,-0.7346,25,-1.2405,40,-0.5633,54,-0.1345,84,0.64173,80,0.55451
ENSG00000169641,LUZP1,89,-0.2192,20,-2.4419,84,-0.3244,31,-1.8237,110,0.17785,265,1.64235,96,-0.1082
ENSG00000125944,HNRNPR,89,-0.7921,237,0.77202,108,-0.4983,119,-0.3533,144,-0.0698,182,0.33138,173,0.24275
ENSG00000117318,ID3,89,1.94568,71,1.49479,119,2.58207,11,-1.5192,1,-4.9355,0,-5.1623,0,-7.6479
ENSG00000142676,RPL11,89,-2.5151,785,0.84750,1042,1.35316,546,0.24069,441,-0.1525,187,-1.4205,294,-0.7393
ENSG00000011007,ELOA,89,1.59652,37,0.08534,23,-0.6399,18,-0.9950,23,-0.8871,42,0.26425,50,0.56288
ENSG00000057757,PITHD1,89,-0.7353,97,-0.6083,75,-0.9954,139,-0.0515,198,0.89273,137,-0.0740,102,-0.5338
ENSG00000011009,LYPLA2,89,1.97725,10,-1.6617,11,-1.4076,50,0.90511,28,-0.0957,10,-1.6173,8,-1.8367
ENSG00000117305,HMGCL,89,2.18508,21,-0.3795,21,-0.3840,42,0.75275,16,-0.9752,9,-1.5635,16,-0.7992
ENSG00000189266,PNRC2,89,0.18031,87,0.13412,73,-0.1369,45,-0.8987,71,-0.2746,102,0.38898,119,0.65792
ENSG00000188529,SRSF10,89,0.30209,88,0.28265,78,0.09229,71,-0.0748,60,-0.4838,95,0.40492,80,0.12453
ENSG00000001461,NIPAL3,89,-0.0155,266,1.90056,32,-1.5822,65,-0.5120,51,-1.1743,183,1.18863,63,-0.5711
ENSG00000133226,SRRM1,89,-0.9429,266,0.80079,126,-0.4153,105,-0.7022,125,-0.6009,307,1.05042,246,0.66688
ENSG00000169504,CLIC4,89,0.71839,328,3.54662,82,0.57675,23,-1.4126,5,-4.0344,13,-2.2120,20,-1.5816
ENSG00000117614,SYF2,89,-0.7116,206,0.62178,206,0.62091,97,-0.5807,115,-0.4583,174,0.34063,177,0.36682
ENSG00000117616,RSRP1,89,0.75057,101,0.96932,43,-0.4420,50,-0.1893,33,-1.1110,89,0.74595,60,0.10129
ENSG00000183726,TMEM50A,89,0.13694,139,0.87770,58,-0.5454,101,0.32999,79,-0.0965,56,-0.5876,62,-0.4465
ENSG00000204178,MACO1,89,0.89740,80,0.70059,40,-0.3907,13,-2.0780,36,-0.7814,94,0.99184,58,0.17352
ENSG00000117643,MAN1C1,89,1.71974,9,-1.9746,20,-0.7464,28,-0.2701,35,0.15183,26,-0.3950,18,-0.9415
ENSG00000162430,SELENON,89,2.10465,25,-0.1341,38,0.51364,33,0.29228,13,-1.5148,10,-1.4582,27,1.60367
ENSG00000117640,MTFR1L,89,0.75478,35,-0.7460,53,-0.0878,59,0.08064,59,0.10099,56,-0.0102,36,-0.7025
ENSG00000117632,STMN1,1887,0.17733,1619,-0.0685,588,-1.6243,1000,-0.8214,2333,0.88585,1496,-0.1943,983,-0.8472
ENSG00000158008,EXTL1,89,2.17373,0,-5.6071,20,-0.4267,18,-0.5544,24,-0.2531,35,0.46276,6,-2.0796
ENSG00000142684,ZNF593,89,0.57511,27,-1.3008,36,-0.8668,116,1.01843,71,0.29173,41,-0.6758,37,-0.8182
ENSG00000142669,SH3BGRL3,89,-1.3947,172,-0.3923,249,0.19029,194,-0.2045,308,0.90955,141,-0.7083,135,-0.7674
ENSG00000158062,UBXN11,89,2.07115,1,-4.7650,36,0.40478,37,0.44199,19,-0.8200,15,-0.9265,25,-0.1870
ENSG00000117682,DHDDS,89,2.15038,11,-1.3432,8,-1.7257,24,-0.1351,21,-0.5327,29,0.14674,21,-0.3862
ENSG00000198830,HMGN2,89,-0.9952,394,1.44193,282,0.83968,187,0.15252,122,-0.7216,103,-0.7791,154,-0.1532
ENSG00000117713,ARID1A,89,0.58473,78,0.36183,45,-0.5000,53,-0.2464,43,-0.8005,88,0.55654,98,0.73936
ENSG00000204160,ZDHHC18,89,2.60563,13,-0.7912,5,-2.2092,26,0.29269,13,-1.1295,24,0.18331,10,-1.1593
ENSG00000142751,GPN2,89,2.74568,13,-0.6585,11,-0.9216,1,-3.7651,13,-0.9575,15,-0.4676,23,0.20852
ENSG00000090273,NUDC,89,-1.5147,171,-0.5307,262,0.14267,289,0.30122,291,0.49749,202,-0.2737,221,-0.1252
ENSG00000253368,TRNP1,89,0.95976,0,-7.3485,28,-0.8814,57,0.20996,67,0.77298,40,-0.3414,19,-1.5043
ENSG00000142784,WDTC1,89,2.58237,17,-0.3961,9,-1.4071,1,-4.5191,17,-0.5196,23,0.10015,12,-0.9692
ENSG00000186501,TMEM222,89,1.29946,34,-0.3022,34,-0.3079,50,0.30826,38,-0.2210,23,-0.8732,32,-0.3882
ENSG00000158195,WASF2,89,0.75632,170,1.95015,106,1.05439,47,-0.2831,8,-3.4006,37,-0.6536,82,0.61100
ENSG00000126705,AHDC1,89,1.58351,8,-2.1624,22,-0.7495,26,-0.4936,26,-0.6528,46,0.42699,58,0.81079
ENSG00000126709,IFI6,89,-0.1688,64,-0.6827,113,0.20886,100,0.01083,115,0.36226,87,-0.2172,82,-0.3129
ENSG00000009780,FAM76A,89,2.17886,35,0.46743,22,-0.2502,7,-1.9820,15,-1.1859,24,-0.1387,27,0.01648
ENSG00000117758,STX12,89,-0.3412,105,-0.0936,94,-0.2697,105,-0.0929,125,0.28896,122,0.15518,97,-0.2155
ENSG00000117751,PPP1R8,89,1.71966,40,0.31055,29,-0.2228,34,0.02683,23,-0.7857,31,-0.1156,16,-1.0635
ENSG00000117748,RPA2,89,0.59627,37,-0.8025,50,-0.3365,69,0.17126,68,0.23524,37,-0.7845,64,0.06180
ENSG00000126698,DNAJC8,89,-1.7470,335,0.28909,273,-0.0381,168,-0.7943,332,0.43948,320,0.21469,284,0.02453
ENSG00000130770,ATP5IF1,89,-3.0852,169,-2.1520,491,-0.5454,910,0.43935,1107,1.39815,432,-0.7458,428,-0.7601
ENSG00000204138,PHACTR4,89,2.03554,53,1.05218,29,0.01775,11,-1.4777,9,-2.1056,24,-0.2306,40,0.54711
ENSG00000180098,TRNAU1AP,89,2.29196,23,-0.1375,14,-0.9075,15,-0.7788,18,-0.7350,18,-0.5272,20,-0.3231
ENSG00000120656,TAF12,89,2.33591,24,-0.0262,29,0.25658,5,-2.3112,19,-0.5627,10,-1.3231,12,-1.0881
ENSG00000198492,YTHDF2,89,-0.0903,68,-0.5273,52,-0.9216,105,0.17417,111,0.41664,125,0.45682,60,-0.7022
ENSG00000116350,SRSF4,89,0.19452,112,0.56168,57,-0.5137,54,-0.5944,63,-0.5186,131,0.82850,98,0.33846
ENSG00000116353,MECR,89,1.46700,8,-2.2439,25,-0.6449,34,-0.1836,46,0.47797,20,-0.9399,19,-1.0651
ENSG00000162511,LAPTM5,89,1.30371,70,0.87273,129,2.02060,41,-0.0096,12,-2.2890,21,-1.0211,14,-1.6759
ENSG00000162512,SDC3,89,-0.1139,93,-0.0425,124,0.41886,111,0.23084,54,-1.2023,82,-0.2429,245,1.61832
ENSG00000134644,PUM1,988,3.17836,76,-1.4668,85,-1.2943,75,-1.4781,107,-1.2497,216,0.15059,97,-1.0950
ENSG00000060688,SNRNP40,89,2.41273,36,0.65844,15,-0.7431,16,-0.6022,16,-0.8460,14,-0.7485,3,-2.7671
ENSG00000121766,ZCCHC17,89,-0.8778,120,-0.4273,107,-0.6053,139,-0.1909,196,0.58021,193,0.33483,138,-0.2069
ENSG00000121769,FABP3,89,-0.7543,11,-3.7621,52,-1.5676,94,-0.6821,263,1.97445,65,-1.2344,87,-0.7908
ENSG00000162517,PEF1,89,0.40276,44,-0.6994,59,-0.2516,47,-0.6006,93,0.76422,34,-1.1235,52,-0.4607
ENSG00000084636,COL16A1,89,1.34272,38,-0.1063,29,-0.5271,34,-0.2734,35,-0.3139,48,0.27615,25,-0.7212
ENSG00000121753,ADGRB2,89,-0.4990,18,-2.8788,80,-0.6680,90,-0.4964,175,0.98286,161,0.44472,91,-0.4758
ENSG00000184007,PTP4A2,89,-1.7008,1056,2.51511,233,-0.2436,87,-1.7450,204,-0.6347,246,-0.1532,188,-0.5751
ENSG00000121774,KHDRBS1,89,-0.6161,184,0.53770,69,-1.0120,159,0.29106,120,-0.2213,183,0.52565,159,0.29442
ENSG00000025800,KPNA6,89,0.21576,61,-0.3974,43,-0.9250,81,0.05973,64,-0.4428,154,1.14108,96,0.33553
ENSG00000084652,TXLNA,89,2.30012,28,0.19090,21,-0.2387,17,-0.5560,13,-1.3078,21,-0.2366,20,-0.3712
ENSG00000160050,CCDC28B,89,2.03882,13,-1.1522,29,0.02685,49,0.90115,21,-0.6060,13,-1.1456,3,-3.0779
ENSG00000084623,EIF3I,89,-0.3605,102,-0.1601,84,-0.4616,147,0.43388,138,0.54210,94,-0.2794,54,-1.1304
ENSG00000116478,HDAC1,89,2.75585,30,0.58837,20,-0.0640,25,0.33763,3,-3.2939,6,-1.7193,23,0.19203
ENSG00000175130,MARCKSL1,89,-1.6455,1148,2.81237,318,0.31743,400,0.70047,100,-1.8721,66,-2.0972,192,-0.4877
ENSG00000160058,BSDC1,89,0.92906,51,-0.0049,25,-1.0667,46,-0.1780,47,-0.1981,64,0.36823,47,-0.1171
ENSG00000176261,ZBTB8OS,89,0.91804,38,-0.4756,51,-0.0080,62,0.29819,58,0.29631,21,-1.3915,21,-1.3412
ENSG00000162521,RBBP4,89,-0.2699,138,0.43283,97,-0.1350,115,0.13701,95,-0.2593,117,0.16389,123,0.24005
ENSG00000134684,YARS,89,-0.2394,36,-1.6254,43,-1.3509,99,-0.0854,152,1.07641,99,-0.0802,66,-0.7189
ENSG00000116497,S100PBP,89,2.77080,25,0.34689,8,-1.4321,7,-1.6758,12,-1.1140,13,-0.6682,14,-0.5413
ENSG00000160097,FNDC5,89,2.27539,1,-4.6392,19,-0.4649,20,-0.3827,20,-0.5253,35,0.54205,9,-1.5344
