Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000142655,PEX14,89,2.47298,7,-1.8112,11,-1.1020,8,-1.6516,32,0.60604,10,-1.2909,18,-0.4059,13,-0.8330
ENSG00000120948,TARDBP,89,0.53622,100,0.73067,43,-0.6276,26,-1.3878,75,0.27771,53,-0.3362,69,0.10831,60,-0.1175
ENSG00000116649,SRM,89,0.27584,30,-1.4104,75,-0.0132,141,1.04882,94,0.41258,71,-0.1015,30,-1.4021,57,-0.4292
ENSG00000171824,EXOSC10,89,1.55592,48,0.45368,20,-0.8913,22,-0.7364,38,0.10427,22,-0.8369,32,-0.1911,28,-0.3661
ENSG00000198793,MTOR,89,1.17186,23,-0.9947,14,-1.7844,40,-0.1614,70,0.86946,34,-0.4699,33,-0.4779,38,-0.2575
ENSG00000116661,FBXO2,89,-1.3226,113,-0.9625,388,1.02101,330,0.73743,234,0.18828,220,0.07398,98,-1.1816,182,-0.2304
ENSG00000132879,FBXO44,89,0.34394,17,-2.1524,45,-0.7403,80,0.16102,113,0.85513,84,0.28330,64,-0.1852,33,-1.2223
ENSG00000116670,MAD2L2,89,2.31806,24,-0.0156,8,-1.5955,35,0.57610,18,-0.5144,17,-0.5923,10,-1.3120,8,-1.7091
ENSG00000011021,CLCN6,89,0.97650,41,-0.3133,40,-0.3344,34,-0.5719,50,0.01705,44,-0.1937,54,0.14218,48,-0.0408
ENSG00000116685,KIAA2013,89,1.80763,39,0.31687,14,-1.1997,30,-0.0656,26,-0.3331,16,-1.1208,36,0.21509,23,-0.4896
ENSG00000083444,PLOD1,89,2.30486,30,0.27534,17,-0.5518,21,-0.2323,16,-0.7772,11,-1.3134,15,-0.8130,23,-0.1331
ENSG00000116688,MFN2,89,0.05428,59,-0.5945,48,-0.9216,102,0.26883,114,0.51762,82,-0.0997,133,0.70224,42,-1.1176
ENSG00000116691,MIIP,89,2.57529,7,-1.6422,19,-0.2554,29,0.44021,15,-0.6560,9,-1.3826,12,-0.8633,15,-0.5819
ENSG00000048707,VPS13D,89,0.63677,42,-0.5803,41,-0.5937,21,-1.6047,77,0.45279,30,-1.1533,99,0.81922,97,0.77548
ENSG00000162496,DHRS3,89,1.80008,26,-0.3117,48,0.68128,21,-0.6233,17,-1.0655,9,-2.0301,9,-1.9384,73,1.40862
ENSG00000116731,PRDM2,89,-0.5730,94,-0.4903,116,-0.1629,47,-1.5436,126,-0.0376,106,-0.3414,369,1.84655,108,-0.2760
ENSG00000189337,KAZN,89,0.96066,81,0.79501,21,-1.3336,27,-0.9227,45,-0.1925,56,0.19671,48,-0.0638,32,-0.6840
ENSG00000142634,EFHD2,89,0.15790,10,-3.0821,109,0.48616,18,-2.2643,76,-0.1240,101,0.41653,162,1.16444,67,-0.2903
ENSG00000116138,DNAJC16,89,1.73479,20,-0.7637,9,-1.8537,25,-0.4081,35,0.11878,15,-1.2336,46,0.53023,37,0.20657
ENSG00000197312,DDI2,89,1.73395,22,-0.6327,18,-0.8882,15,-1.1676,33,0.01982,19,-0.8778,42,0.41101,36,0.13631
ENSG00000116786,PLEKHM2,89,0.43534,29,-1.3148,141,1.22529,40,-0.8316,46,-0.6815,79,0.26646,80,0.24928,54,-0.3744
ENSG00000065526,SPEN,89,-0.3274,238,1.30962,82,-0.4521,28,-2.0920,61,-0.9896,28,-2.2051,315,1.84608,169,0.70660
ENSG00000116809,ZBTB17,89,2.70994,25,0.28878,21,0.03740,3,-2.7048,11,-1.0538,15,-0.5809,16,-0.3952,2,-3.2143
ENSG00000185519,FAM131C,89,2.79258,28,0.54089,5,-1.8933,20,-0.0209,8,-1.4503,14,-0.6262,9,-1.2016,5,-1.9039
ENSG00000037637,FBXO42,89,2.56158,10,-1.2257,8,-1.4437,27,0.31208,14,-0.8041,13,-0.9299,20,-0.1562,15,-0.6492
ENSG00000055070,SZRD1,89,1.90847,51,0.87126,59,1.11972,23,-0.4352,11,-1.5787,12,-1.5477,19,-0.6890,13,-1.2098
ENSG00000157191,NECAP2,89,2.42076,33,0.53244,40,0.84717,29,0.30570,4,-2.7787,10,-1.4307,5,-2.3438,14,-0.8060
ENSG00000219481,NBPF1,89,2.27291,41,0.78693,30,0.28715,11,-1.2247,9,-1.5847,11,-1.3274,19,-0.4167,20,-0.3418
ENSG00000159363,ATP13A2,89,0.17476,14,-2.6434,46,-0.8649,114,0.57383,93,0.27270,84,0.07872,104,0.41823,81,0.02470
ENSG00000117118,SDHB,89,-0.3901,77,-0.6113,67,-0.8404,225,1.13165,123,0.12563,156,0.58037,65,-0.8766,64,-0.8953
ENSG00000117115,PADI2,89,0.66315,294,3.11287,49,-0.3122,23,-1.4784,7,-3.3420,7,-3.2550,14,-2.2068,100,0.84828
ENSG00000179051,RCC2,89,2.62225,24,0.13255,6,-1.8598,16,-0.4658,15,-0.6244,14,-0.7557,15,-0.5581,9,-1.3283
ENSG00000117154,IGSF21,89,0.74562,13,-2.1908,35,-0.7637,38,-0.6286,100,1.11914,38,-0.6639,82,0.60037,33,-0.8425
ENSG00000159423,ALDH4A1,89,2.10710,18,-0.6284,21,-0.3919,39,0.56262,8,-2.0048,8,-1.9306,8,-1.7792,66,1.49620
ENSG00000127481,UBR4,89,1.75651,30,-0.1258,12,-1.5331,11,-1.6837,30,-0.1125,18,-1.0110,55,0.86622,32,-0.0383
ENSG00000127463,EMC1,89,1.68859,24,-0.5060,14,-1.3695,27,-0.3559,28,-0.3392,17,-1.1095,34,0.02115,58,0.90736
ENSG00000053372,MRTO4,89,1.23782,16,-1.5231,40,-0.0983,51,0.26921,37,-0.2602,43,0.00113,26,-0.7926,47,0.15267
ENSG00000053371,AKR7A2,89,1.11640,47,0.02961,57,0.34767,62,0.48961,40,-0.2458,34,-0.5278,17,-1.4856,39,-0.2560
ENSG00000077549,CAPZB,89,-1.2681,144,-0.5386,152,-0.4594,213,0.07742,309,0.80148,222,0.15812,192,-0.0938,181,-0.1812
ENSG00000173436,MICOS10,89,-2.2714,208,-1.0107,590,0.64338,585,0.62854,367,-0.1488,650,0.95088,204,-1.0436,278,-0.5661
ENSG00000158747,NBL1,89,-0.4009,24,-2.3426,140,0.31087,163,0.56279,133,0.26718,118,0.04769,169,0.62897,64,-0.9171
ENSG00000169914,OTUD3,89,2.47130,3,-3.0285,15,-0.6155,14,-0.7621,20,-0.2784,16,-0.6361,23,-0.0267,16,-0.5974
ENSG00000162545,CAMK2N1,1887,0.34528,663,-1.2881,1779,0.24917,1462,-0.0682,1580,0.06380,1945,0.45330,1256,-0.3075,1155,-0.4390
ENSG00000090432,MUL1,89,2.22677,14,-0.9644,2,-3.3608,31,0.27241,27,0.05289,12,-1.2287,17,-0.6456,27,0.09861
ENSG00000158828,PINK1,89,-2.1202,124,-1.6325,351,-0.0412,302,-0.2773,487,0.56801,510,0.66098,443,0.33727,296,-0.3101
ENSG00000244038,DDOST,89,1.33577,17,-1.3238,17,-1.2884,39,-0.0596,53,0.49164,26,-0.7483,29,-0.5296,56,0.52120
ENSG00000117245,KIF17,89,2.46192,1,-4.1767,5,-2.2867,1,-4.0583,29,0.41398,17,-0.4988,26,0.21201,16,-0.5382
ENSG00000189410,SH2D5,89,1.73217,0,-6.2651,2,-4.0798,32,-0.0167,58,1.09825,21,-0.7891,30,-0.1485,19,-0.8695
ENSG00000127483,HP1BP3,89,-1.5146,428,0.96616,226,-0.0952,170,-0.5404,169,-0.6045,187,-0.4363,392,0.81446,380,0.76060
ENSG00000075151,EIF4G3,89,-1.4880,235,-0.0001,91,-1.4604,74,-1.7584,357,0.79901,176,-0.5037,544,1.43538,252,0.11223
ENSG00000117298,ECE1,89,2.39874,25,0.05364,33,0.51371,36,0.64593,3,-2.9274,2,-3.8800,8,-1.6322,38,0.76689
ENSG00000076864,RAP1GAP,89,-0.0203,13,-2.8773,44,-1.0962,73,-0.3492,166,1.21129,93,0.05631,135,0.65032,32,-1.6028
ENSG00000090686,USP48,89,0.19490,139,0.93708,60,-0.4466,30,-1.4791,78,-0.0361,36,-1.3231,124,0.73350,123,0.72585
ENSG00000070831,CDC42,89,-1.1863,253,0.44714,156,-0.3350,179,-0.1150,244,0.43946,235,0.36482,182,-0.0868,109,-0.8926
ENSG00000173372,C1QA,89,0.91129,62,0.29761,211,2.62627,44,-0.2450,13,-2.1462,13,-2.1404,27,-0.9964,28,-0.9464
ENSG00000159189,C1QC,89,1.57442,48,0.49287,149,2.67078,20,-0.8705,6,-2.8637,10,-2.0791,18,-1.0524,1,-4.5905
ENSG00000173369,C1QB,89,0.82281,106,1.11371,218,2.58434,53,-0.0313,15,-2.0447,17,-1.8901,11,-2.3491,1,-5.5976
ENSG00000004487,KDM1A,89,0.74166,35,-0.7346,25,-1.2405,40,-0.5633,68,0.33389,39,-0.6400,84,0.64173,80,0.55451
ENSG00000169641,LUZP1,89,-0.2192,20,-2.4419,84,-0.3244,31,-1.8237,139,0.56372,82,-0.3912,265,1.64235,96,-0.1082
ENSG00000125944,HNRNPR,89,-0.7921,237,0.77202,108,-0.4983,119,-0.3533,152,0.04408,136,-0.1536,182,0.33138,173,0.24275
ENSG00000117318,ID3,89,1.94568,71,1.49479,119,2.58207,11,-1.5192,1,-4.8197,1,-4.2983,0,-5.1623,0,-7.6479
ENSG00000142676,RPL11,89,-2.5151,785,0.84750,1042,1.35316,546,0.24069,303,-0.7562,579,0.38398,187,-1.4205,294,-0.7393
ENSG00000011007,ELOA,89,1.59652,37,0.08534,23,-0.6399,18,-0.9950,26,-0.4901,20,-0.9602,42,0.26425,50,0.56288
ENSG00000057757,PITHD1,89,-0.7353,97,-0.6083,75,-0.9954,139,-0.0515,189,0.51566,208,0.70702,137,-0.0740,102,-0.5338
ENSG00000011009,LYPLA2,89,1.97725,10,-1.6617,11,-1.4076,50,0.90511,29,-0.0201,27,-0.1258,10,-1.6173,8,-1.8367
ENSG00000117305,HMGCL,89,2.18508,21,-0.3795,21,-0.3840,42,0.75275,16,-0.8664,17,-0.7091,9,-1.5635,16,-0.7992
ENSG00000189266,PNRC2,89,0.18031,87,0.13412,73,-0.1369,45,-0.8987,69,-0.2559,73,-0.1664,102,0.38898,119,0.65792
ENSG00000188529,SRSF10,89,0.30209,88,0.28265,78,0.09229,71,-0.0748,62,-0.3121,57,-0.4442,95,0.40492,80,0.12453
ENSG00000001461,NIPAL3,89,-0.0155,266,1.90056,32,-1.5822,65,-0.5120,75,-0.3137,27,-1.9551,183,1.18863,63,-0.5711
ENSG00000133226,SRRM1,89,-0.9429,266,0.80079,126,-0.4153,105,-0.7022,131,-0.3882,119,-0.5604,307,1.05042,246,0.66688
ENSG00000169504,CLIC4,89,0.71839,328,3.54662,82,0.57675,23,-1.4126,6,-3.4766,4,-3.8424,13,-2.2120,20,-1.5816
ENSG00000117614,SYF2,89,-0.7116,206,0.62178,206,0.62091,97,-0.5807,101,-0.5759,129,-0.1578,174,0.34063,177,0.36682
ENSG00000117616,RSRP1,89,0.75057,101,0.96932,43,-0.4420,50,-0.1893,42,-0.5195,24,-1.3851,89,0.74595,60,0.10129
ENSG00000183726,TMEM50A,89,0.13694,139,0.87770,58,-0.5454,101,0.32999,110,0.55339,47,-0.9349,56,-0.5876,62,-0.4465
ENSG00000204178,MACO1,89,0.89740,80,0.70059,40,-0.3907,13,-2.0780,44,-0.2785,28,-1.0373,94,0.99184,58,0.17352
ENSG00000117643,MAN1C1,89,1.71974,9,-1.9746,20,-0.7464,28,-0.2701,55,0.98477,15,-1.2601,26,-0.3950,18,-0.9415
ENSG00000162430,SELENON,89,2.10465,25,-0.1341,38,0.51364,33,0.29228,11,-1.5167,15,-1.0338,10,-1.4582,27,1.60367
ENSG00000117640,MTFR1L,89,0.75478,35,-0.7460,53,-0.0878,59,0.08064,61,0.12805,57,0.02093,56,-0.0102,36,-0.7025
ENSG00000117632,STMN1,1887,0.17733,1619,-0.0685,588,-1.6243,1000,-0.8214,2061,0.36702,2605,0.83310,1496,-0.1943,983,-0.8472
ENSG00000158008,EXTL1,89,2.17373,0,-5.6071,20,-0.4267,18,-0.5544,29,0.18124,18,-0.6447,35,0.46276,6,-2.0796
ENSG00000142684,ZNF593,89,0.57511,27,-1.3008,36,-0.8668,116,1.01843,66,0.09216,75,0.32866,41,-0.6758,37,-0.8182
ENSG00000142669,SH3BGRL3,89,-1.3947,172,-0.3923,249,0.19029,194,-0.2045,245,0.18477,370,1.00906,141,-0.7083,135,-0.7674
ENSG00000158062,UBXN11,89,2.07115,1,-4.7650,36,0.40478,37,0.44199,15,-1.0439,23,-0.3292,15,-0.9265,25,-0.1870
ENSG00000117682,DHDDS,89,2.15038,11,-1.3432,8,-1.7257,24,-0.1351,21,-0.4276,21,-0.4061,29,0.14674,21,-0.3862
ENSG00000198830,HMGN2,89,-0.9952,394,1.44193,282,0.83968,187,0.15252,90,-1.0740,154,-0.1706,103,-0.7791,154,-0.1532
ENSG00000117713,ARID1A,89,0.58473,78,0.36183,45,-0.5000,53,-0.2464,53,-0.2733,33,-1.0853,88,0.55654,98,0.73936
ENSG00000204160,ZDHHC18,89,2.60563,13,-0.7912,5,-2.2092,26,0.29269,16,-0.5143,9,-1.4358,24,0.18331,10,-1.1593
ENSG00000142751,GPN2,89,2.74568,13,-0.6585,11,-0.9216,1,-3.7651,18,-0.2707,8,-1.4485,15,-0.4676,23,0.20852
ENSG00000090273,NUDC,89,-1.5147,171,-0.5307,262,0.14267,289,0.30122,265,0.18194,316,0.52013,202,-0.2737,221,-0.1252
ENSG00000253368,TRNP1,89,0.95976,0,-7.3485,28,-0.8814,57,0.20996,39,-0.4351,95,1.27219,40,-0.3414,19,-1.5043
ENSG00000142784,WDTC1,89,2.58237,17,-0.3961,9,-1.4071,1,-4.5191,19,-0.2684,16,-0.5536,23,0.10015,12,-0.9692
ENSG00000186501,TMEM222,89,1.29946,34,-0.3022,34,-0.3079,50,0.30826,39,-0.0954,36,-0.2448,23,-0.8732,32,-0.3882
ENSG00000158195,WASF2,89,0.75632,170,1.95015,106,1.05439,47,-0.2831,8,-3.0295,8,-3.0313,37,-0.6536,82,0.61100
ENSG00000126705,AHDC1,89,1.58351,8,-2.1624,22,-0.7495,26,-0.4936,39,0.15731,14,-1.5287,46,0.42699,58,0.81079
ENSG00000126709,IFI6,89,-0.1688,64,-0.6827,113,0.20886,100,0.01083,159,0.91050,70,-0.5975,87,-0.2172,82,-0.3129
ENSG00000009780,FAM76A,89,2.17886,35,0.46743,22,-0.2502,7,-1.9820,17,-0.7078,12,-1.2708,24,-0.1387,27,0.01648
ENSG00000117758,STX12,89,-0.3412,105,-0.0936,94,-0.2697,105,-0.0929,104,-0.1198,145,0.50477,122,0.15518,97,-0.2155
ENSG00000117751,PPP1R8,89,1.71966,40,0.31055,29,-0.2228,34,0.02683,29,-0.2363,17,-1.1100,31,-0.1156,16,-1.0635
ENSG00000117748,RPA2,89,0.59627,37,-0.8025,50,-0.3365,69,0.17126,82,0.51739,55,-0.2255,37,-0.7845,64,0.06180
ENSG00000126698,DNAJC8,89,-1.7470,335,0.28909,273,-0.0381,168,-0.7943,283,0.01744,382,0.58600,320,0.21469,284,0.02453
ENSG00000130770,ATP5IF1,89,-3.0852,169,-2.1520,491,-0.5454,910,0.43935,909,0.50302,1306,1.26728,432,-0.7458,428,-0.7601
ENSG00000204138,PHACTR4,89,2.03554,53,1.05218,29,0.01775,11,-1.4777,11,-1.5387,7,-2.1058,24,-0.2306,40,0.54711
ENSG00000180098,TRNAU1AP,89,2.29196,23,-0.1375,14,-0.9075,15,-0.7788,17,-0.6430,18,-0.5253,18,-0.5272,20,-0.3231
ENSG00000120656,TAF12,89,2.33591,24,-0.0262,29,0.25658,5,-2.3112,15,-0.7801,22,-0.1496,10,-1.3231,12,-1.0881
ENSG00000198492,YTHDF2,89,-0.0903,68,-0.5273,52,-0.9216,105,0.17417,132,0.62130,91,-0.0629,125,0.45682,60,-0.7022
ENSG00000116350,SRSF4,89,0.19452,112,0.56168,57,-0.5137,54,-0.5944,64,-0.3848,62,-0.4261,131,0.82850,98,0.33846
ENSG00000116353,MECR,89,1.46700,8,-2.2439,25,-0.6449,34,-0.1836,41,0.12772,51,0.54249,20,-0.9399,19,-1.0651
ENSG00000162511,LAPTM5,89,1.30371,70,0.87273,129,2.02060,41,-0.0096,9,-2.3339,15,-1.6710,21,-1.0211,14,-1.6759
ENSG00000162512,SDC3,89,-0.1139,93,-0.0425,124,0.41886,111,0.23084,53,-1.0161,55,-0.9494,82,-0.2429,245,1.61832
