cell	trait	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
WM.CC	epilepsyFocal	0.005095317873588005	0.017226548178081127	0.014837049413910015	3.380858389105877	2.911898684637335	0.39096858950599434	1.9297635429953737e-08	3.1828855966237115e-08	0.606293718204134
WM.CC	epilepsy	0.005095317873588005	0.007865547491901673	0.003781968719173864	1.5436814124342229	0.7422439213808438	0.4634736477160183	3.4715562405529164e-08	7.34030464111186e-08	0.47294443627166244
WM.CC	GSCAN_AgeSmk	0.005095317873588005	0.002214333190886152	0.002660089596904072	0.4345819526519294	0.5220654850000357	0.2749886739432148	-4.86451027949834e-09	4.292694657682944e-09	-1.1332066842424902
WM.CC	GSCAN_CigDay	0.005095317873588005	0.004971219598488793	0.001997323660215416	0.9756446451079165	0.3919919639496302	0.9504722835473846	-3.983845113914797e-09	5.80891072981332e-09	-0.6858162053460968
WM.CC	GSCAN_DrnkWk	0.005095317873588005	0.0040420786705419945	0.001965763147972769	0.7932927387110504	0.38579794170692716	0.5947031869565267	-1.8392433594976357e-09	2.9481857308186256e-09	-0.6238560007503093
WM.CC	GSCAN_SmkCes	0.005095317873588005	0.0032849119466686625	0.0018897251959114382	0.6446922504474688	0.37087483897854195	0.3391781534939341	-5.943755873743351e-09	4.752343802466496e-09	-1.2506998905799922
WM.CC	GSCAN_SmkInit	0.005095317873588005	0.0020709909192425497	0.001121760744707307	0.40644979775995915	0.2201552037650183	0.0065533132285877675	-4.003760586366594e-09	2.3244662214103645e-09	-1.7224430062646046
WM.CC	Height	0.005095317873588005	0.004298725554943264	0.0011190011390920756	0.8436618993343001	0.2196136074046546	0.4791220935830509	-7.818305356677452e-08	2.181788776661989e-08	-3.5834382504428355
WM.CC	Insomnia	0.005095317873588005	0.005574749203925547	0.0036439368469083975	1.0940925261646017	0.7151539780858502	0.8956248761635275	6.974185870166515e-10	6.4791827205216735e-09	0.10763990106463592
WM.CC	Intelligence	0.005095317873588005	0.0027851057489563878	0.00126359397821153	0.5466009811464776	0.24799119693031757	0.07183434038107907	-1.3932959566938216e-08	7.917927393304996e-09	-1.7596725601095096
WM.CC	mdd2019edinburgh	0.005095317873588005	0.0028309181828358714	0.0016218272510263275	0.5555920657100053	0.31829756087116784	0.16262547667684527	-2.5059703266583125e-09	3.5313905763789787e-09	-0.7096270640297985
WM.CC	Depression_ex23andMe	0.005095317873588005	0.0020114707086239256	0.0025752046854857894	0.3947684439965066	0.5054060903313947	0.22405436786096572	-5.087905422986003e-09	6.85146894439787e-09	-0.7426006691814824
WM.CC	Depression	0.005095317873588005	0.003071830902178904	0.0017631737948311354	0.6028732609798476	0.3460380369928813	0.25051677624770574	-1.733213130289805e-09	3.4735519584107825e-09	-0.4989742923214494
WM.CC	STROKE1	0.005095317873588005	-0.00329501068249473	0.005680078892824613	-0.6466742142967539	1.114764384429824	0.1208138149095283	-1.6213980433668963e-08	8.420775507473838e-09	-1.9254735409201074
WM.CC	STROKE2	0.005095317873588005	0.0009623002305536501	0.004362211305030169	0.18885970501306928	0.8561215243590682	0.3369272768495829	-9.708665071859362e-09	7.3457997310208685e-09	-1.3216620963487822
WM.CC	Type_2_Diabetes	0.005095317873588005	0.004019568357932596	0.008410404801084834	0.7888748960625903	1.6506143502215733	0.8977419528107623	-9.958056705476464e-09	2.624739009640192e-08	-0.37939226219834893
WM.CC	Parkinson Disease	0.005095317873588005	0.0004575549234171264	0.004338665518231259	0.08979909296511206	0.8515004609861703	0.2742270110302081	-1.4506375624054859e-08	8.844254874231163e-09	-1.6402032540153257
WM.CC	PTSD	0.005095317873588005	0.020503776629476438	0.019296571575315568	4.024042687456151	3.787118302342022	0.40699811432434063	2.0390081181000682e-08	2.114877138592877e-08	0.9641260387620967
WM.CC	Schizophrenia	0.005095317873588005	0.007178672611242174	0.001582881130471891	1.4088763035675178	0.3106540494120856	0.19033376655558662	2.4484635833552874e-08	2.3163423788016773e-08	1.0570387200798705
WM.CC	Schizophrenia_PGC3	0.005095317873588005	0.008153856940588327	0.0017180129293105203	1.6002646238921634	0.33717482832935314	0.0765987927864581	3.5469525932466255e-08	2.190644359768821e-08	1.6191366606037942
WM.CC	Cigarettes Per Day	0.005095317873588005	0.005785536713677373	0.0023779851046550693	1.1354613896940902	0.4667000496635448	0.770610095494897	-9.961577825309758e-10	5.836799814519402e-09	-0.17066848516081903
WM.CC	STROKEall	0.005095317873588005	-0.001621425126204258	0.003293497895895704	-0.3182186404128086	0.6463773169026055	0.038743533334761146	-1.0550567706672278e-08	3.4679166614766073e-09	-3.0423360007099887
WM.CC	Education Years	0.005095317873588005	0.003375168827447393	0.0010185226108778093	0.6624059403521918	0.1998938311891009	0.09233042717946727	-6.785773675121199e-09	4.65162985162574e-09	-1.4587948507445359
