"","nmf1","nmf2","nmf3","nmf4","nmf5","nmf6","nmf7","nmf8","nmf9","nmf10","nmf11","nmf12","nmf13","nmf14","nmf15","nmf16","nmf17","nmf18","nmf19","nmf20","nmf21","nmf22","nmf23","nmf24","nmf25","nmf26","nmf27","nmf28","nmf29","nmf30","nmf31","nmf32","nmf33","nmf34","nmf35","nmf36","nmf37","nmf38","nmf39","nmf40","nmf41","nmf42","nmf43","nmf44","nmf45","nmf46","nmf47","nmf48","nmf49","nmf50","nmf51","nmf52","nmf53","nmf54","nmf55","nmf56","nmf57","nmf58","nmf59","nmf60","nmf61","nmf62","nmf63","nmf64","nmf65","nmf66","nmf67","nmf68","nmf69","nmf70","nmf71","nmf72","nmf73","nmf74","nmf75"
"11","ZCCHC7","ATXN1","PPP6R2","KAZN","SACS","NRXN1","ATP5F1D","LAMA2","DGKB","SARAF","NPTX1","NUCKS1","CDH12","AC016042.1","DDX5","LRRTM4","RORB","NHSL1","CCNI","FMNL2","NRXN3","IQCJ-SCHIP1","MT-ND4","GALNTL6","TAFA2","PDE1A","PCDH9","AC019211.1","RGS7","ARHGAP24","CALM3","RPL26","PTPRT","NCKAP5","DSCAM","DST","SLC24A2","SON","ERMN","COX6C","SLC4A10","GPCPD1","SYNPR","SLC35F1","CDC42BPA","CACNA1C","PTPRG","OPCML","SLC1A3","FTH1","ASTN2","PITPNC1","NRG1","CNTN5","DLGAP1","HSPB1","FAM172A","GRIK2","KIAA1217","KCND2","MTRNR2L12","LIMCH1","ASIC2","NELL2","RGS12","CACNB2","UNC5D","ARHGAP32","AOPEP","SNTG1","GPM6B","KCND2","DNAJC6","OSBPL1A","LSAMP"
"12","ZMYM2","SGK1","SNRNP70","ATXN1","NAT8L","LRRC4C","BEX2","CA10","KCND2","SYP","CCK","ZNF483","ADARB2","AC090709.1","SLC17A7","NRXN1","NAV3","ARHGAP24","NORAD","CNTNAP4","KCNC2","NTNG1","MT-CO2","SNHG14","NEGR1","SLIT3","NXPH1","SOX5","FRMD4A","MEF2A","YWHAB","RPS28","OXR1","FRMD5","PCDH9","SRRM2","FRMD5","DST","CLDND1","RPS26","LRRTM4","NEAT1","ROBO1","PCDH9","COP1","PDE7B","TBC1D5","ADGRB3","LSAMP","NRGN","ROBO1","CTNND2","MSI2","RBMS3","THSD7A","ATP1B3","ZSWIM6","PDE10A","DLG2","DYNC1I1","MT-ND4L","GRID2","TNRC6C","AEBP2","IQCJ-SCHIP1","LRRTM3","EXT1","FAT3","DENND1A","MDGA2","LINC01278","MALAT1","MACF1","NEDD4L","SGCZ"
"13","COP1","KCNH8","MICAL3","SYT1","SCN8A","SGCZ","SELENOW","HS6ST3","DLGAP2","SEZ6L2","SCN3B","PJA2","SLC8A1","LINC00513","FAIM2","KCNIP4","PTPRT","CADM2","MAP1B","PEX5L","KAZN","SNTG1","AQP4","KCND2","CNTNAP2","AC060765.2","CNTNAP2","CLSTN2","CAMK2N1","KCNQ3","OLFM1","RPS12","NRCAM","RNF220","OTUD7A","FTX","MAGI2","ARGLU1","MARCKSL1","MT-ND5","AGAP1","MALAT1","DSCAM","XKR4","PBX1","RBMS3","ROBO2","CSMD1","NPAS3","MT-CO3","NXPH1","PRKG1","MTUS2","NXPH1","RBFOX1","ARIH1","ARHGAP26","DST","LRRTM4","RAPGEF5","MALAT1","PPP3CA","GRIN2A","MED13L","PCDH9","DIP2C","ASAP1","SBF2","ZCCHC7","NRG3","GRIA3","PITPNC1","AK5","CDH2","QKI"
"14","C2CD5","AUTS2","OSBP2","MEG3","SLC24A2","CNTNAP2","CLU","RGS6","KCNQ5","ATP1A3","GRIN2B","MAP1B","LRRC4C","PDE5A","MIAT","KCNMB2","CCDC85A","PREX2","FBXL16","LMCD1-AS1","GRIP1","RORB","MT-ND2","NRXN1","TENM2","ST6GALNAC5","LHFPL3","NAV3","DLGAP1","SYNDIG1","ATP1B1","RPS23","DIRAS2","PEX5L","ENOX1","DDX17","DLG2","RBM25","APLP1","YWHAE","PRKCE","IGF1R","PLD5","ARPP21","SLC35F3","CALD1","KALRN","CNTNAP2","DST","HSP90AA1","CACNA2D3","PPP2R2B","TENM2","FBXL7","DAB1","RANBP2","MCTP1","BTBD9","HS3ST4","SRPK2","ACTB","GRIA2","MAP2K4","TMEM132B","PDE1A","SORBS1","MSRA","KIRREL3","SMARCA2","NLGN1","HDAC8","NRXN1","DAB1","SPIRE1","ZNF638"
"15","TMCC1","DOCK5","CERS4","FRMD4A","NEFH","KCTD8","DDX24","TMEM132D","RALYL","PKM","VSNL1","SERINC1","DLGAP1","AP001825.1","KIFC2","PCDH9","MDGA2","DLC1","CBX6","MAGI2","CNTN5","NEGR1","SPARCL1","AUTS2","LSAMP","CASC15","NTNG1","OPCML","PTPRD","DOCK8","MAP1B","RPL11","CELF4","PLP1","NCAM2","BPTF","FMNL2","BPTF","GPM6B","COX5B","CACNB4","SLC39A10","GRM7","LRP1B","ASTN1","EBF1","PEX5L","DLGAP1","MALAT1","SNHG14","SYNPR","NTM","ADGRB3","FSTL5","ZNF385D","NR4A2","MEF2C","PTPRK","PTPRD","JAZF1","GAPDH","LDB2","RBFOX3","MGAT4C","SPOCK1","VTI1A","KHDRBS3","CNTN5","KDM4C","CNTNAP2","LINC00632","CTNNA2","JAK1","KCTD1","SEPTIN7"
"16","PPP6R3","SH3GL3","PI4KA","FMNL2","LSAMP","NLGN1","MIF","LINGO2","GALNTL6","CALM3","NRGN","PTMA","SYNPR","UBE3A","HNRNPDL","GRID2","LRP1B","LSAMP","NCS1","DPYD","CSMD1","PLCH1","MT-CYB","SYT1","UNC5D","MACROD2","FAM155A","RGS6","KCNQ5","LDLRAD4","PEBP1","RPL10","NCALD","ANK3","UNC79","ANKRD11","SIK3","ANKRD11","FTL","DSTN","SLC8A1","ST6GAL1","THSD7A","CELF2","RPS6KC1","PTPRK","AC092691.1","MEG3","CTNND2","GNAS","SPOCK3","MSI2","SNHG14","TMEM132D","EPHA6","HSPD1","FER","ZFAND3","CLSTN2","HECW1","CAMK2N1","WDFY3","PAFAH1B1","CCDC91","CADPS2","CPEB3","VPS13B","KIAA1549L","BRINP1","DAB1","PAK3","PPP2R2B","KIF1B","CTIF","RTN3"
"17","TENT2","TMEFF2","CLIP2","KLHL29","DNM3","LSAMP","ACTB","TAFA1","CSMD3","HSP90AA1","ATP2B2","YWHAZ","SYT1","AC053513.1","PKM","SOX6","ANKS1B","AC092691.1","TLE5","LRP1B","LRRC4C","CPNE4","MBP","RORA","TOX","AC011287.1","GRID2","RBFOX1","NRG3","APBB1IP","SNAP25","RPL13","MAP1B","MBP","DCLK1","SON","DOCK10","ANKRD12","ACTB","DPYSL2","UBR3","COBLL1","FGF14","DLC1","RGL1","PARD3","CACNA2D3","RALYL","PTGDS","HSP90AB1","XKR4","ARHGEF4","DPP6","DAB1","SOX6","PER1","SSBP2","STXBP5","PEX5L","PTPRN2","MT-ATP8","ATP8A1","MYH10","BICD1","UNC5D","CCNY","PTK2","CADM1","TRPM3","RORA","CASK","MIR99AHG","FAF1","ATP9B","LPP"
"18","WDR7","NLGN1","RBM6","RBFOX1","DIRAS1","SYT1","TUBA1A","NTNG1","KIAA1217","HSP90AB1","SCN2A","HSP90AA1","PLCB1","AC104827.1","ATP5F1B","LUZP2","KCNC2","ADGRB3","VAMP2","IL1RAPL1","IL1RAPL1","EFNA5","CLU","DSCAM","RORB","GRID2","ROBO2","KCNQ5","CAMK2A","DLEU1","CREG2","RPS15","TUBB2A","SIK3","HS6ST3","ANKRD12","MOBP","TTC3","TUBA1A","NEFL","EXOC6B","ESYT2","FRMD4A","FRMPD4","PPP1R12B","SLC20A2","MAGI1","NRXN3","GPM6A","CALM2","GRIP1","NEAT1","KCNH7","PTCHD4","FSTL5","MXD1","ARL15","SUPT3H","NRG1","TMEM178B","PCDH9","LRBA","PRKCB","ERC1","CADPS","ADK","XKR6","NELL1","AGTPBP1","RYR2","NLGN4X","GPM6A","GNB1","CELF4","GRIA4"
"19","FAR1","GRID1","CCDC144A","SNHG14","ACSL6","AL589740.1","STMN1","AC019211.1","TENM2","PNMA2","PHYHIP","AKAP11","CHRM2","AC008056.1","ATP1A3","DPP6","RBFOX1","GABRB1","SNAP25","NCKAP5","SLIT2","GRID2","GLUL","LRRC4C","CCSER1","ARL15","LUZP2","PTPRK","ADGRB3","ELMO1","CABP1","FTH1","GPM6A","SLC44A1","MTUS2","MYCBP2","SLC44A1","PRRC2C","SOX2-OT","LINC00632","MYT1L","MYRIP","NLGN1","RALYL","PCNX2","PDE8B","LINC00882","LSAMP","RYR3","CADM2","TENM2","GLIS3","ANK3","ZNF536","XKR4","HNRNPU","CHSY3","SOBP","FRMPD4","CADPS2","EEF1A1","GABRB1","GAS7","PPP1R12A","CNTN4","MLLT10","STAU2","ARHGEF12","SLC44A1","DSCAM","REPS2","CTNND2","TTLL7","NOL4","EXOC6B"
"20","ZNF148","SLC7A14-AS1","MIAT","SHC3","EPDR1","ROBO2","UBB","SGCD","RGS6","GNAS","PSD3","MYO5A","LINGO2","SLC8A1-AS1","NDRG4","VCAN","IQCJ-SCHIP1","SLC4A4","SELENOW","MALAT1","KCND2","CDH13","MT3","GRM5","KHDRBS2","GRIA1","GPC5","SYN3","TENM2","ST6GALNAC3","STMN2","RPL24","CAMK2D","DLG2","NPAS3","RBM25","ANK3","SRSF11","MOBP","SPARCL1","TMEFF2","PTPRB","DAB1","LRRTM4","AGBL4","PDGFRB","CNTN4","NAV3","NRG3","GAPDH","CTNNA2","WWOX","CACNA1E","IL1RAPL1","RPS6KA2","ZSWIM6","KCTD16","HIVEP2","SLC35F1","NRCAM","FTL","NR3C2","NCOR1","DENND5B","NRXN3","GPR158","SPIDR","PICALM","RFX3","HTR2C","SH3KBP1","ZBTB20","ADGRL2","ZNF407","SEC62"
