"Image Location","Analysis Region","Algorithm Name","Object Id","XMin","XMax","YMin","YMax","ADCYAP1+","RORB+","PCP4+","AQP4+","DAPI Positive","DAPI Positive Nucleus","DAPI Nucleus Intensity","DAPI Positive Cytoplasm","DAPI Cytoplasm Intensity","AQP4-520 Copies","AQP4-520 Area (µm²)","AQP4-520 Classification","AQP4-520 Cell Intensity","AQP4-520 Avg Intensity","ADCYAP1-520 Copies","ADCYAP1-520 Area (µm²)","ADCYAP1-520 Classification","ADCYAP1-520 Cell Intensity","ADCYAP1-520 Avg Intensity","RORB-620 Copies","RORB-620 Area (µm²)","RORB-620 Classification","RORB-620 Cell Intensity","RORB-620 Avg Intensity","PCP4-690 Copies","PCP4-690 Area (µm²)","PCP4-690 Classification","PCP4-690 Cell Intensity","PCP4-690 Avg Intensity","Cell Area (µm²)","Cytoplasm Area (µm²)","Nucleus Area (µm²)","Nucleus Perimeter (µm)","Nucleus Roundness"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2024","4980","5008","2414","2447","0","0","1","0","1","1","1324.1073","0","381.84088","1","0.50634","0","390.4803","771.1818","0","0","0","0","0","0","0","0","0","0","22","46.307102","3","32841.586","709.2127","110.33611","70.01302","40.323082","33.684063","0.690947"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2025","5069","5105","2415","2443","0","0","1","0","1","1","1715.3301","0","263.08627","0","0","0","0","0","0","0","0","0","0","1","0.690464","0","537.3189","778.2","11","20.529789","2","16467.193","802.1121","138.55305","87.504776","51.048286","32.61132","0.764543"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2026","5000","5027","2424","2452","0","0","1","0","1","1","2091.2517","0","431.9475","2","4.557061","0","4318.943","947.7475","0","0","0","0","0","0","0","0","0","0","17","35.305714","3","23862.842","675.8918","104.766365","56.111687","48.65468","31.538582","0.764512"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2027","5057","5089","2431","2464","0","0","1","0","1","1","1327.3236","0","331.4275","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51","82.671524","4","81074.58","980.68317","145.18152","91.417404","53.76411","32.61132","0.804509"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2028","5015","5048","2439","2467","0","0","0","1","1","1","2050.978","0","393.7789","8","20.253603","1","26134.283","1290.3523","0","0","0","0","0","2","2.02536","0","2112.1746","1042.8636","2","3.682473","0","2218.276","602.3875","120.785126","81.19854","39.58659","30.46584","0.642556"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2029","5062","5083","2507","2526","0","1","0","0","1","1","1539.3958","0","590.089","0","0","0","0","0","0","0","0","0","0","13","10.725204","2","12255.041","1142.6395","1","0.736495","0","359.1332","487.625","55.881535","40.875454","15.006079","20.811172","0.607164"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2030","5046","5065","2510","2530","0","1","0","0","1","1","1115.789","0","307.62183","0","0","0","0","0","0","0","0","0","0","8","7.364947","1","7254.7026","978.913","0","0","0","0","0","48.010246","37.975506","10.03474","15.23292","0.689491"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2031","4789","4818","2512","2550","0","1","1","0","1","1","1362.8905","0","249.10574","0","0","0","0","0","1","0.322216","0","238.99252","741.7143","42","26.191591","4","38839.094","1482.884","61","88.517456","4","94131.8","1063.4264","167.96681","104.904465","63.06236","36.044094","0.738684"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2032","5068","5099","2515","2554","0","1","0","0","1","1","2349.0012","0","481.10086","0","0","0","0","0","0","0","0","0","0","8","6.858607","1","7534.2485","1098.51","1","0.414278","0","181.82213","438.8889","151.67188","79.403336","72.26854","40.9787","0.69654"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2033","5050","5073","2528","2554","0","0","0","0","1","1","2548.2666","0","425.71936","0","0","0","0","0","0","0","0","0","0","1","0.598402","0","405.30222","677.3077","0","0","0","0","0","85.61751","52.981586","32.63592","25.102137","0.800148"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2034","5174","5198","2547","2573","0","0","0","0","1","1","1292.9363","0","277.81366","3","2.899948","0","2307.3918","795.6667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","91.095184","69.41463","21.680563","20.167528","0.813114"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2035","4869","4895","2553","2573","0","0","0","0","1","1","1139.5094","0","236.9831","1","4.879277","0","7802.977","1599.2075","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","72.176476","59.886223","12.290255","16.734756","0.626973"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2036","5116","5138","2557","2576","0","0","0","0","1","1","829.61","0","152.47911","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63.20045","53.994267","9.206183","13.301987","0.741661"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2037","4849","4879","2564","2590","0","0","0","1","1","1","1934.6672","0","429.05457","6","17.215563","1","27898.143","1620.5187","0","0","0","0","0","3","1.887268","0","2038.157","1079.9512","0","0","0","0","0","105.82508","76.77957","29.04551","25.316685","0.714338"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2038","4837","4865","2594","2620","0","0","0","0","1","1","2008.7437","0","501.15192","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.368247","0","180.85547","491.125","95.00781","63.936943","31.07087","25.74578","0.858119"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2039","4911","4931","2600","2619","0","0","0","0","1","1","829.4052","0","224.36244","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56.06566","49.022926","7.04273","11.156505","0.844866"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2040","4821","4840","2611","2633","0","0","0","0","1","1","1458.8524","0","256.5452","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58.82751","50.403854","8.423658","12.014698","0.743773"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2041","4837","4874","2612","2636","0","0","0","0","1","1","2856.9573","0","516.5439","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","123.08667","64.99566","58.09102","36.47319","0.726867"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2042","4838","4867","2637","2657","0","0","0","0","1","1","3125.018","0","487.5681","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","93.30467","57.768803","35.53587","25.316685","0.835864"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2043","5129","5153","2671","2692","0","0","0","0","1","1","2225.39","0","330.9043","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68.86225","53.395863","15.466389","17.163853","0.821679"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2044","5161","5187","2683","2701","0","0","0","0","1","1","1118.0227","0","381.1035","0","0","0","0","0","0","0","0","0","0","2","1.196804","0","1036.8004","866.3077","0","0","0","0","0","73.189156","52.935555","20.253603","20.596624","0.789733"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2045","5122","5148","2687","2715","0","0","0","0","1","1","1593.7263","0","345.05243","0","0","0","0","0","0","0","0","0","0","1","0.920618","0","1018.434","1106.25","1","0.598402","0","300.0295","501.3846","95.23797","68.494","26.743963","25.102137","0.698706"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2046","4930","4953","2686","2709","0","0","0","0","1","1","570.1469","0","192.51096","1","0.782526","0","606.9637","775.64703","0","0","0","0","0","0","0","0","0","0","3","1.703144","0","819.35034","481.0811","79.3573","63.06236","16.294945","17.59295","0.850546"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2047","4997","5023","2686","2708","0","0","0","0","1","1","1848.535","0","309.76306","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2.02536","0","1273.1232","493.89285","73.833595","52.843494","20.990099","20.811172","0.743107"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2048","5014","5035","2692","2716","0","0","0","0","1","1","1491.7844","0","364.73492","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","61.911583","46.53726","15.374327","19.95298","0.667817"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2049","5162","5194","2700","2723","0","0","0","1","1","1","1796.8212","0","382.86856","7","11.461699","1","11937.612","1041.5221","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","109.09328","70.74952","38.343754","29.17855","0.771442"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2050","4956","4985","2701","2730","0","0","0","1","1","1","2105.4343","0","494.426","10","17.031439","2","20104.28","1180.4216","0","0","0","0","0","1","1.380928","0","1374.5292","933.15625","0","0","0","0","0","102.18864","61.589367","40.59927","30.894936","0.846025"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2051","4969","4998","2712","2741","0","0","0","0","1","1","1881.7084","0","392.8392","0","0","0","0","0","1","0.414278","0","264.58572","638.6667","0","0","0","0","0","0","0","0","0","0","93.21261","58.965607","34.247","28.320358","0.763419"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2052","4862","4896","2713","2739","0","0","1","0","1","1","1687.1129","0","372.4046","0","0","0","0","0","0","0","0","0","0","1","0.828557","0","792.5143","956.5","13","29.137571","2","18792.443","644.95575","129.94528","89.99044","39.954838","29.607647","0.75859"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2053","5110","5151","2725","2762","0","0","0","0","1","1","1416.7477","0","355.98444","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","175.42383","112.31544","63.108387","44.196922","0.553189"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2054","4795","4836","2729","2770","0","0","1","0","1","1","2892.6301","0","500.84164","0","0","0","0","0","0","0","0","0","0","1","0.736495","0","584.7308","793.9375","8","4.280875","1","2164.742","489.875","237.6116","131.97064","105.64095","49.775177","0.825616"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2055","5076","5110","2734","2764","0","0","0","0","1","1","1836.0067","0","331.05566","0","0","0","0","0","1","0.460309","0","291.00745","632.2","0","0","0","0","0","1","0.644433","0","374.9218","581.7857","141.63713","93.442764","48.19437","32.182224","0.762601"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2056","4881","4915","2739","2766","0","0","0","0","1","1","2639.749","0","477.89618","0","0","0","0","0","0","0","0","0","0","1","0.50634","0","431.49384","852.1818","3","2.347577","0","1439.709","504.46774","127.1374","88.24127","38.896126","30.036743","0.754208"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2057","5131","5160","2749","2776","0","0","0","0","1","1","2163.9878","0","382.36343","1","0.598402","0","460.17108","769","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","110.70435","77.00973","33.694633","25.74578","0.84759"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2058","5012","5043","2750","2785","0","0","0","0","1","1","2863.009","0","495.27762","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","162.1209","100.80771","61.313183","34.756805","0.848364"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2059","4942","4973","2772","2795","0","0","0","0","1","1","2710.2998","0","559.1432","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.414278","0","176.85078","426.8889","97.171265","57.860863","39.310402","28.320358","0.752238"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2060","4841","4873","2781","2812","0","0","0","0","1","1","1524.4421","0","323.89093","0","0","0","0","0","0","0","0","0","0","1","0.874587","0","848.21173","877.4762","0","0","0","0","0","142.1895","93.25864","48.930866","31.75313","0.80978"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2061","4881","4912","2784","2808","0","1","1","0","1","1","2056.2668","0","354.44662","0","0","0","0","0","0","0","0","0","0","56","31.853395","4","56532.688","1774.7775","14","27.112211","2","20262.166","747.34467","114.24873","75.44467","38.80406","29.607647","0.640561"
