"gene","layer"
"CACNA2D1","L2_dACC & L2_DLPFC"
"SLC24A4","L2_dACC & L2_DLPFC"
"RASGRF2","L2_dACC & L3_DLPFC"
"TMOD1","L2_dACC & L3_DLPFC"
"RCN1","L2_dACC & L3_DLPFC"
"TMEM65","L2_dACC & L3_DLPFC"
"GRIA4","L3_dACC & L2_dACC & L3_DLPFC"
"KRT17","L6_DLPFC & L6a_dACC & L6b_dACC"
"OLFML2B","L6_DLPFC & L6a_dACC & L6b_dACC"
"B3GALT2","L6_DLPFC & L6a_dACC & L6b_dACC"
"HS3ST4","L6_DLPFC & L6a_dACC & L6b_dACC"
"SEMA3E","L6_DLPFC & L6a_dACC & L6b_dACC"
"SCN1B","L4_DLPFC"
"NGB","L4_DLPFC"
"PVALB","L4_DLPFC"
"TPBG","L4_DLPFC"
"NEFM","L4_DLPFC"
"SLC25A5","L4_DLPFC"
"TNNT2","L4_DLPFC"
"DEXI","L4_DLPFC"
"PTPRT","L4_DLPFC"
"RORB","L4_DLPFC"
"UBE2E3","L4_DLPFC"
"STAC2","L4_DLPFC"
"RCAN2","L4_DLPFC"
"NEFL","L4_DLPFC"
"CITED2","L4_DLPFC"
"ESYT1","L4_DLPFC"
"CCNI","L4_DLPFC"
"TMED8","L4_DLPFC"
"PNKD","L4_DLPFC"
"MAD1L1","L4_DLPFC"
"TMEM132C","L4_DLPFC"
"TRAPPC1","L4_DLPFC"
"PRDX2","L4_DLPFC"
"SMPX","L4_DLPFC"
"DYNLL2","L4_DLPFC"
"CCM2","L4_DLPFC"
"LRRC49","L4_DLPFC"
"NSG1","L4_DLPFC"
"GAPDH","L4_DLPFC"
"SPTSSB","L4_DLPFC"
"SMIM12","L4_DLPFC"
"BEND5","L4_DLPFC"
"CD99L2","L4_DLPFC"
"LIMK1","L4_DLPFC"
"SCN1A","L4_DLPFC"
"SDHA","L4_DLPFC"
"SV2C","L4_DLPFC"
"PARM1","L4_DLPFC"
"INA","L4_DLPFC"
"COPG1","L4_DLPFC"
"TMX4","L4_DLPFC"
"SPATS2L","L3_dACC"
"GPR6","L3_dACC"
"AC117453.1","L3_dACC"
"CNGB1","L3_dACC"
"RASGRF1","L3_dACC"
"LINC00507","L3_dACC"
"ASB2","L3_dACC"
"TPGS2","L3_dACC"
"AJ009632.2","L3_dACC"
"AC073365.1","L3_dACC"
"NEK2","L3_dACC"
"AC003684.1","L3_dACC"
"LINC02822","L3_dACC"
"LINC01164","L3_dACC"
"PTGER3","L3_dACC"
"COL5A2","L3_dACC"
"CDH8","L3_dACC"
"LINC00390","L3_dACC"
"FFAR4","L3_dACC"
"MAPK15","L3_dACC"
"HDAC9","L3_dACC"
"LANCL3","L3_dACC"
"SPTB","L3_dACC"
"C14orf132","L3_dACC"
"CTXN3","L3_dACC"
"B4GALT2","L3_dACC"
"AGPAT2","L3_dACC"
"OLFM2","L3_dACC"
"PTPRK","L3_dACC"
"ALKAL2","L3_dACC"
"RARB","L3_dACC"
"CD24","L5_dACC"
"CENPF","L5_dACC"
"AC096570.1","L5_dACC"
"SNCG","L5_dACC"
"ACTG1","L5_dACC"
"PPP1R17","L5_dACC"
"OAT","L5_dACC"
"CD52","L5_dACC"
"GABRQ","L5_dACC"
"DYNC1H1","L5_dACC"
"MGST3","L5_dACC"
"ZFP64","L5_dACC"
"SOD1","L5_dACC"
"SULF2","L5_dACC"
"EIF4G2","L5_dACC"
"CNIH3","L5_dACC"
"BCKDK","L5_dACC"
"HIGD1A","L5_dACC"
"PSMB7","L5_dACC"
"Z68323.1","L5_dACC"
"UHMK1","L5_dACC"
"PITHD1","L5_dACC"
"ACAT2","L5_dACC"
"MKX","L5_dACC"
"FDPS","L5_dACC"
"WBP2","L5_dACC"
"BNIP3","L5_dACC"
"ITGB1BP1","L5_dACC"
"DRD5","L5_dACC"
"MORF4L1","L5_dACC"
"GYG1","L5_dACC"
"OPRK1","L6_DLPFC"
"MMD","L6_DLPFC"
"NPTX1","L6_DLPFC"
"CPNE5","L6_DLPFC"
"DIRAS2","L6_DLPFC"
"SSTR2","L6_DLPFC"
"ISLR2","L6_DLPFC"
"MCTP1","L6_DLPFC"
"GPD2","L6_DLPFC"
"TENM3","L6_DLPFC"
"ANXA1","L6_DLPFC"
"SCN3B","L6_DLPFC"
"RAB26","L6_DLPFC"
"SYNPR","L6_DLPFC"
"MAP2K1","L6_DLPFC"
"GNB4","L6_DLPFC"
"LNPEP","L6_DLPFC"
"SLN","L6_DLPFC"
"GNG2","L6_DLPFC"
"CDH6","L6_DLPFC"
"DGKH","L6_DLPFC"
"TRIM36","L6_DLPFC"
"GRIK3","L6_DLPFC"
"SOHLH1","L6_DLPFC"
"SLIT1","L6_DLPFC"
"RAP1GAP2","L6_DLPFC"
"PPP1R1A","L6a_dACC"
"STT3B","L6a_dACC"
"KCTD8","L6a_dACC"
"CRTAC1","L6a_dACC"
"PCDH10","L6a_dACC"
"B3GLCT","L6a_dACC"
"VPS41","L6a_dACC"
"MOXD1","L6a_dACC"
"TMEM275","L6a_dACC"
"GBE1","L6a_dACC"
"AC090578.1","L6a_dACC"
"EFHD2","L6a_dACC"
"SYT6","L6a_dACC"
"IMPA1","L6a_dACC"
"CIDEA","L6a_dACC"
"AL161772.1","L6a_dACC"
"TMEM155","L6a_dACC"
"PIK3CB","L6a_dACC"
"FOXP2","L6a_dACC"
"PCNT","L6a_dACC"
"KL","L6a_dACC"
"SPOCK1","L6a_dACC"
"CELSR2","L6a_dACC"
"TMEM178A","L6a_dACC"
"IGFBP2","L6a_dACC"
"C5AR2","L6a_dACC"
"NPY","L6b_dACC"
"SLC15A5","L6b_dACC"
"SCUBE1","L6b_dACC"
"CPLX3","L6b_dACC"
"CCN2","L6b_dACC"
"NXPH4","L6b_dACC"
"FIBCD1","L6b_dACC"
"CDH24","L6b_dACC"
"ADRA2A","L6b_dACC"
"PCOLCE2","L6b_dACC"
"DUSP27","L6b_dACC"
"CABP7","L6b_dACC"
"NOS1","L6b_dACC"
"VWA5A","L6b_dACC"
"GALR1","L6b_dACC"
"PLCXD3","L6b_dACC"
"GARNL3","L6b_dACC"
"SDK2","L6b_dACC"
"FOXO6","L6b_dACC"
"AC079949.2","L6b_dACC"
"SULF1","L6b_dACC"
"PTK7","L6b_dACC"
"RAB3B","L6b_dACC"
"PCSK5","L6b_dACC"
"KIAA1217","L6b_dACC"
"CRHBP","L6b_dACC"
"ZBTB7C","L6b_dACC"
"CYP26A1","L6b_dACC"
"UTRN","L6b_dACC"
"RGMA","L6b_dACC"
"MRAP2","L6b_dACC"
"GLCE","L6b_dACC"
"CHI3L1","L6b_dACC"
"AMOTL1","L6b_dACC"
"SPOP","L6b_dACC"
"ZFHX3","L6b_dACC"
"PCDH11X","L6b_dACC"
"CLMP","L6b_dACC"
"STARD10","L6b_dACC"
"TLE4","L6b_dACC"
"LMO1","L6b_dACC"
"LOXL1","L6b_dACC"
"PLAUR","L6b_dACC"
"LGALS3","L1_dACC"
"HBA2","L1_dACC"
"MSX2","L1_dACC"
"HBB","L1_dACC"
"TTR","L1_dACC"
"TIMP3","L1_dACC"
"GSTM5","L1_dACC"
"NDNF","L1_dACC"
"DCN","L1_dACC"
"ADGRV1","L1_dACC"
"OAF","L1_dACC"
"SNTA1","L1_dACC"
"C1orf61","L1_dACC"
"EMX2OS","L1_dACC"
"FSTL1","L1_dACC"
"SLC7A11","L1_dACC"
"SHISA6","L1_dACC"
"ARHGAP36","L1_dACC"
"FAM167A","L1_dACC"
"ALDH2","L1_dACC"
"NTS","L1_dACC"
"HBA1","L1_dACC"
"SLC1A3","L1_dACC"
"CRIP1","L1_dACC"
"MSI2","L1_dACC"
"STOM","L1_dACC"
"MMP28","L1_dACC"
"PLTP","L1_dACC"
"ZNF385A","L1_dACC"
"FXYD1","L1_dACC"
"FLNA","L1_dACC"
"NECTIN2","L1_dACC"
"NR2F2","L1_dACC"
"MYL9","L1_DLPFC"
"CALD1","L1_DLPFC"
"FABP7","L1_DLPFC"
"SOX9","L1_DLPFC"
"C11orf96","L1_DLPFC"
"IGFBP7","L1_DLPFC"
"PTN","L1_DLPFC"
"CLU","L1_DLPFC"
"ADGRG1","L1_DLPFC"
"NCAN","L1_DLPFC"
"GJA1","L1_DLPFC"
"ADCYAP1R1","L1_DLPFC"
"MT1M","L1_DLPFC"
"PFKFB2","L1_DLPFC"
"CLDN5","L1_DLPFC"
"EZR","L1_DLPFC"
"PON2","L1_DLPFC"
"GLUL","L1_DLPFC"
"SAT1","L1_DLPFC"
"GOLIM4","L1_DLPFC"
"METTL7A","L1_DLPFC"
"TAGLN","L1_DLPFC"
"A2M","L1_DLPFC"
"NOTCH2","L1_DLPFC"
"CST3","L1_DLPFC"
"PLSCR4","L1_DLPFC"
"CXCL14","L1_DLPFC"
"PLEC","L1_DLPFC"
"TPM2","L1_DLPFC"
"ALDH6A1","L1_DLPFC"
"FADS2","L1_DLPFC"
"AGT","L1_DLPFC"
"RAMP2","L1_DLPFC"
"KCTD4","L2_dACC"
"MTMR12","L2_dACC"
"SOWAHA","L2_dACC"
"FAM106A","L2_dACC"
"SHISA7","L2_dACC"
"MINK1","L2_dACC"
"IGFBP4","L2_dACC"
"NECTIN3","L2_dACC"
"ACVR1C","L2_dACC"
"GPR88","L2_dACC"
"CA4","L2_dACC"
"PEG10","L2_dACC"
"PLEKHA2","L2_dACC"
"DTWD1","L2_dACC"
"DGKA","L2_dACC"
"DCLK3","L2_dACC"
"ADAMTS8","L2_dACC"
"DPP6","L2_dACC"
"ARHGAP4","L2_dACC"
"PTGES","L2_dACC"
"CCNG2","L2_dACC"
"MEF2A","L2_dACC"
"GLP2R","L2_dACC"
"TP53I11","L2_dACC"
"STRIP2","L2_dACC"
"ZFR","L2_dACC"
"RSPO2","L2_dACC"
"CCNO","L2_dACC"
"SIPA1L1","L2_DLPFC"
"DDX54","L2_DLPFC"
"HPCAL1","L2_DLPFC"
"SERPINE2","L2_DLPFC"
"CPNE6","L2_DLPFC"
"C12orf29","L2_DLPFC"
"GRIA2","L2_DLPFC"
"SEZ6L","L2_DLPFC"
"PDE8B","L2_DLPFC"
"PSD3","L2_DLPFC"
"KCNIP2","L2_DLPFC"
"EGR3","L2_DLPFC"
"MEIS2","L2_DLPFC"
"PCDH7","L2_DLPFC"
"PENK","L2_DLPFC"
"GSG1L","L2_DLPFC"
"ICAM5","L2_DLPFC"
"INHBA-AS1","L2_DLPFC"
"KLF16","L2_DLPFC"
"SLCO2A1","L2_DLPFC"
"RTN4","L2_DLPFC"
"DOCK4","L2_DLPFC"
"TNRC6B","L2_DLPFC"
"PDZD2","L2_DLPFC"
"AP001999.1","L2_DLPFC"
"TPD52L1","L2_DLPFC"
"NPPA","L2_DLPFC"
"PLEKHA5","L2_DLPFC"
"PDE2A","L2_DLPFC"
"ITPKA","L2_DLPFC"
"YJEFN3","L2_DLPFC"
"PPFIA2","L2_DLPFC"
"SEMA5B","L2_DLPFC"
"LMO3","L2_DLPFC"
"JUN","L2_DLPFC"
"SMAD3","L2_DLPFC"
"CARTPT","L3_DLPFC"
"BAIAP3","L3_DLPFC"
"SNX3","L3_DLPFC"
"SPON2","L3_DLPFC"
"FAM84A","L3_DLPFC"
"GRB14","L3_DLPFC"
"WIPF2","L3_DLPFC"
"HAPLN4","L3_DLPFC"
"LINC00937","L3_DLPFC"
"HOPX","L3_DLPFC"
"HS6ST3","L3_DLPFC"
"MAN1C1","L3_DLPFC"
"DBNDD1","L3_DLPFC"
"CDH22","L3_DLPFC"
"VSTM2A","L3_DLPFC"
"NECAB1","L3_DLPFC"
"FAM19A5","L3_DLPFC"
"LRRC2","L3_DLPFC"
"FGFR1OP2","L3_DLPFC"
"AC103681.2","L3_DLPFC"
"ARL6","L3_DLPFC"
"SNN","L3_DLPFC"
"LRRTM1","L3_DLPFC"
"BTBD3","L3_DLPFC"
"PIN1","L3_DLPFC"
"CYP46A1","L3_DLPFC"
"SHD","L3_DLPFC"
"AL355974.2","L3_DLPFC"
"C2orf80","L3_DLPFC"
"PTK2B","L3_DLPFC"
"ARPP21","L3_DLPFC"
"DPP10-AS1","L3_DLPFC"
"EMILIN3","L3_DLPFC"
"GNG13","L3_DLPFC"
"TESPA1","L3_DLPFC"
"CAMK2D","L5_DLPFC"
"HTR2C","L5_DLPFC"
"TMSB10","L5_DLPFC"
"PID1","L5_DLPFC"
"RAB27B","L5_DLPFC"
"ETV1","L5_DLPFC"
"KIF17","L5_DLPFC"
"IPCEF1","L5_DLPFC"
"PKD2L1","L5_DLPFC"
"FAM3C","L5_DLPFC"
"SSBP3","L5_DLPFC"
"BCL11A","L5_DLPFC"
"HRK","L5_DLPFC"
"PDE1A","L5_DLPFC"
"SPHKAP","L5_DLPFC"
"AL353751.1","L5_DLPFC"
"PFKP","L5_DLPFC"
"SMARCD3","L5_DLPFC"
"PARVA","L5_DLPFC"
"OTOA","L5_DLPFC"
"MGLL","L5_DLPFC"
"FEZF2","L5_DLPFC"
"PCP4L1","L5_DLPFC"
"STMN1","L5_DLPFC"
"MYBPHL","L5_DLPFC"
"HS3ST2","L5_DLPFC"
"OXCT1","L5_DLPFC"
"TTC9B","L5_DLPFC"
"TRIB2","L5_DLPFC"
"SEZ6","L5_DLPFC"
"CLSTN2","L5_DLPFC"
"NREP","L5_DLPFC"
"CYP26B1","L5_DLPFC"
"FABP6","L5_DLPFC"
"CCDC85A","L5_DLPFC"
"PDE4A","L5_DLPFC"
"ADTRP","L5_DLPFC"
