"gene","layer"
"SLC35F1","L6_DLPFC"
"SEMA3A","L6_DLPFC"
"TENM3","L6_DLPFC"
"ANXA1","L6_DLPFC"
"SCN3B","L6_DLPFC"
"RAB26","L6_DLPFC"
"SYNPR","L6_DLPFC"
"MAP2K1","L6_DLPFC"
"PPP1R1A","L6a_dACC"
"STT3B","L6a_dACC"
"KCTD8","L6a_dACC"
"CRTAC1","L6a_dACC"
"PCDH10","L6a_dACC"
"B3GLCT","L6a_dACC"
"GALNT14","L6a_dACC"
"VPS41","L6a_dACC"
"MOXD1","L6a_dACC"
"TMEM275","L6a_dACC"
"PRMT7","L6a_dACC"
"GBE1","L6a_dACC"
"AC090578.1","L6a_dACC"
"SEMA3E","L6a_dACC"
"EFHD2","L6a_dACC"
"IGSF21","L6a_dACC"
"SYT6","L6a_dACC"
"NPY","L6b_dACC"
"SLC15A5","L6b_dACC"
"SCUBE1","L6b_dACC"
"CPLX3","L6b_dACC"
"CCN2","L6b_dACC"
"NXPH4","L6b_dACC"
"FIBCD1","L6b_dACC"
"CDH24","L6b_dACC"
"ADRA2A","L6b_dACC"
"PCOLCE2","L6b_dACC"
"DUSP27","L6b_dACC"
"CABP7","L6b_dACC"
"NOS1","L6b_dACC"
"VWA5A","L6b_dACC"
"GALR1","L6b_dACC"
"PLCXD3","L6b_dACC"
"NXPH3","L6b_dACC"
"GARNL3","L6b_dACC"
"SDK2","L6b_dACC"
"FOXO6","L6b_dACC"
"HS3ST4","L6b_dACC"
"AC079949.2","L6b_dACC"
"SULF1","L6b_dACC"
"PTK7","L6b_dACC"
"RAB3B","L6b_dACC"
"PCSK5","L6b_dACC"
"KIAA1217","L6b_dACC"
"CRHBP","L6b_dACC"
"LGALS3","L1_dACC"
"HBA2","L1_dACC"
"MSX2","L1_dACC"
"HBB","L1_dACC"
"TTR","L1_dACC"
"TIMP3","L1_dACC"
"GSTM5","L1_dACC"
"NDNF","L1_dACC"
"DCN","L1_dACC"
"ADGRV1","L1_dACC"
"OAF","L1_dACC"
"FGFR3","L1_dACC"
"TNS3","L1_dACC"
"SNTA1","L1_dACC"
"C1orf61","L1_dACC"
"EMX2OS","L1_dACC"
"FSTL1","L1_dACC"
"SLC7A11","L1_dACC"
"SHISA6","L1_dACC"
"MYL9","L1_DLPFC"
"CALD1","L1_DLPFC"
"FABP7","L1_DLPFC"
"SOX9","L1_DLPFC"
"C11orf96","L1_DLPFC"
"IGFBP7","L1_DLPFC"
"PTN","L1_DLPFC"
"CLU","L1_DLPFC"
"ADGRG1","L1_DLPFC"
"NCAN","L1_DLPFC"
"GJA1","L1_DLPFC"
"ADCYAP1R1","L1_DLPFC"
"MT1M","L1_DLPFC"
"FBLN1","L1_DLPFC"
"PFKFB2","L1_DLPFC"
"CLDN5","L1_DLPFC"
"ACTA2","L1_DLPFC"
"EZR","L1_DLPFC"
"PON2","L1_DLPFC"
"KCTD4","L2_dACC"
"MTMR12","L2_dACC"
"SOWAHA","L2_dACC"
"FAM106A","L2_dACC"
"SHISA7","L2_dACC"
"TMOD1","L2_dACC"
"MINK1","L2_dACC"
"IGFBP4","L2_dACC"
"RCN1","L2_dACC"
"NECTIN3","L2_dACC"
"ACVR1C","L2_dACC"
"GPR88","L2_dACC"
"CA4","L2_dACC"
"PEG10","L2_dACC"
"PLEKHA2","L2_dACC"
"DTWD1","L2_dACC"
"DGKA","L2_dACC"
"SIPA1L1","L2_DLPFC"
"DDX54","L2_DLPFC"
"HPCAL1","L2_DLPFC"
"SERPINE2","L2_DLPFC"
"VXN","L2_DLPFC"
"CPNE6","L2_DLPFC"
"C12orf29","L2_DLPFC"
"GRIA2","L2_DLPFC"
"SEZ6L","L2_DLPFC"
"PDE8B","L2_DLPFC"
"PSD3","L2_DLPFC"
"KCNIP2","L2_DLPFC"
"EGR3","L2_DLPFC"
"MEIS2","L2_DLPFC"
"PCDH7","L2_DLPFC"
"PENK","L2_DLPFC"
"GSG1L","L2_DLPFC"
"ICAM5","L2_DLPFC"
"INHBA-AS1","L2_DLPFC"
"SLC24A4","L2_DLPFC"
"CARTPT","L3_DLPFC"
"BAIAP3","L3_DLPFC"
"SNX3","L3_DLPFC"
"SPON2","L3_DLPFC"
"CA10","L3_DLPFC"
"FAM84A","L3_DLPFC"
"GRB14","L3_DLPFC"
"WIPF2","L3_DLPFC"
"HAPLN4","L3_DLPFC"
"LINC00937","L3_DLPFC"
"HOPX","L3_DLPFC"
"HS6ST3","L3_DLPFC"
"GGCT","L3_DLPFC"
"MAN1C1","L3_DLPFC"
"DBNDD1","L3_DLPFC"
"CDH22","L3_DLPFC"
"VSTM2A","L3_DLPFC"
"NECAB1","L3_DLPFC"
"FAM19A5","L3_DLPFC"
"LRRC2","L3_DLPFC"
"FGFR1OP2","L3_DLPFC"
"CAMK2D","L5_DLPFC"
"HTR2C","L5_DLPFC"
"TMSB10","L5_DLPFC"
"PID1","L5_DLPFC"
"RAB27B","L5_DLPFC"
"ETV1","L5_DLPFC"
"KIF17","L5_DLPFC"
"IPCEF1","L5_DLPFC"
"PKD2L1","L5_DLPFC"
"FAM3C","L5_DLPFC"
"SSBP3","L5_DLPFC"
"BCL11A","L5_DLPFC"
"HRK","L5_DLPFC"
"PDE1A","L5_DLPFC"
"SPHKAP","L5_DLPFC"
"GRIN3A","L5_DLPFC"
"AL353751.1","L5_DLPFC"
"PFKP","L5_DLPFC"
"SMARCD3","L5_DLPFC"
"PARVA","L5_DLPFC"
"OTOA","L5_DLPFC"
"KCNAB1","L5_DLPFC"
"MGLL","L5_DLPFC"
